iter	Passed	Remaining
0	150	150553
1	151	75633
2	152	50605
3	152	38075
4	153	30568
5	154	25552
6	154	21967
7	155	19279
8	156	17190
9	156	15516
10	157	14149
11	158	13008
12	158	12046
13	159	11222
14	159	10505
15	160	9876
16	161	9324
17	161	8831
18	162	8389
19	163	7992
20	163	7633
21	164	7309
22	165	7012
23	165	6739
24	166	6487
25	166	6255
26	167	6039
27	168	5839
28	168	5652
29	169	5479
30	170	5326
31	171	5173
32	171	5032
33	172	4897
34	172	4768
35	173	4646
36	174	4532
37	174	4424
38	175	4320
39	175	4223
40	176	4131
41	177	4043
42	177	3958
43	178	3878
44	179	3802
45	180	3733
46	180	3662
47	181	3596
48	181	3532
49	182	3470
50	183	3410
51	183	3351
52	184	3295
53	185	3241
54	185	3189
55	186	3139
56	186	3090
57	187	3044
58	188	3000
59	188	2956
60	189	2913
61	189	2872
62	190	2832
63	191	2793
64	191	2756
65	192	2720
66	192	2685
67	193	2647
68	193	2616
69	194	2584
70	195	2553
71	195	2522
72	196	2493
73	196	2463
74	197	2436
75	198	2409
76	198	2382
77	199	2356
78	200	2333
79	200	2308
80	201	2283
81	201	2259
82	202	2236
83	202	2213
84	203	2189
85	203	2167
86	204	2144
87	204	2123
88	205	2103
89	206	2083
90	206	2064
91	207	2045
92	207	2027
93	208	2008
94	209	1991
95	209	1973
96	210	1956
97	210	1939
98	211	1923
99	211	1907
100	212	1892
101	212	1874
102	213	1859
103	214	1843
104	214	1829
105	215	1814
106	215	1800
107	216	1786
108	216	1773
109	217	1760
110	218	1747
111	218	1735
112	219	1722
113	220	1709
114	220	1697
115	221	1684
116	221	1673
117	222	1661
118	222	1649
119	223	1637
120	223	1626
121	224	1616
122	225	1604
123	225	1593
124	226	1583
125	226	1573
126	227	1563
127	227	1552
128	228	1542
129	229	1532
130	229	1523
131	230	1514
132	230	1504
133	231	1495
134	232	1486
135	232	1478
136	233	1469
137	233	1459
138	234	1451
139	234	1443
140	235	1435
141	236	1427
142	236	1419
143	237	1412
144	238	1404
145	238	1397
146	239	1390
147	240	1384
148	241	1377
149	241	1370
150	242	1363
151	243	1356
152	243	1349
153	244	1342
154	245	1336
155	245	1329
156	246	1322
157	246	1316
158	247	1309
159	248	1303
160	248	1296
161	249	1290
162	250	1284
163	250	1278
164	251	1272
165	251	1266
166	252	1260
167	253	1254
168	253	1248
169	254	1242
170	255	1237
171	255	1231
172	256	1226
173	257	1220
174	257	1215
175	258	1209
176	259	1204
177	259	1199
178	260	1193
179	260	1188
180	261	1182
181	261	1176
182	262	1171
183	263	1166
184	263	1161
185	264	1156
186	264	1151
187	265	1147
188	266	1142
189	266	1137
190	267	1133
191	268	1128
192	268	1124
193	269	1120
194	270	1115
195	270	1111
196	271	1106
197	272	1101
198	272	1097
199	273	1092
200	273	1088
201	274	1084
202	275	1080
203	275	1075
204	276	1071
205	276	1067
206	277	1063
207	278	1059
208	278	1054
209	279	1050
210	279	1046
211	280	1042
212	281	1038
213	281	1034
214	282	1030
215	283	1027
216	283	1023
217	284	1019
218	284	1016
219	285	1012
220	286	1008
221	286	1005
222	287	1002
223	288	998
224	288	994
225	289	991
226	290	987
227	290	984
228	291	980
229	292	977
230	292	974
231	293	970
232	294	968
233	295	965
234	295	962
235	296	959
236	297	956
237	297	952
238	298	949
239	298	946
240	299	942
241	299	939
242	300	935
243	301	932
244	301	929
245	302	926
246	302	923
247	303	919
248	304	916
249	304	913
250	305	910
251	305	907
252	306	904
253	306	901
254	307	898
255	308	895
256	308	892
257	309	889
258	309	886
259	310	883
260	311	880
261	311	878
262	312	875
263	312	872
264	313	869
265	314	866
266	314	864
267	315	861
268	316	858
269	316	856
270	317	853
271	317	850
272	318	848
273	319	846
274	320	843
275	320	841
276	321	839
277	322	836
278	322	834
279	323	832
280	324	830
281	325	827
282	325	825
283	326	822
284	326	820
285	327	817
286	327	814
287	328	812
288	329	809
289	329	807
290	330	804
291	330	802
292	331	800
293	332	797
294	332	795
295	333	792
296	333	790
297	334	788
298	335	785
299	335	783
300	336	781
301	337	778
302	337	776
303	338	774
304	338	772
305	339	769
306	340	767
307	340	765
308	341	762
309	341	760
310	342	758
311	342	756
312	343	753
313	344	751
314	344	749
315	345	747
316	345	745
317	346	742
318	346	740
319	347	738
320	348	736
321	348	734
322	349	732
323	349	729
324	350	727
325	350	725
326	351	723
327	352	721
328	352	719
329	353	717
330	353	715
331	354	713
332	354	711
333	355	709
334	356	707
335	356	704
336	357	702
337	357	700
338	358	699
339	359	697
340	359	695
341	360	693
342	360	691
343	361	689
344	362	687
345	362	685
346	363	683
347	363	681
348	364	679
349	365	678
350	365	676
351	366	674
352	367	672
353	367	671
354	368	669
355	369	667
356	369	666
357	370	664
358	371	663
359	372	661
360	373	660
361	373	658
362	374	657
363	375	655
364	376	654
365	376	652
366	377	651
367	378	649
368	379	648
369	379	646
370	380	645
371	381	643
372	381	642
373	382	640
374	383	638
375	384	637
376	384	635
377	385	634
378	386	632
379	386	631
380	387	629
381	388	627
382	388	626
383	389	624
384	390	623
385	390	621
386	391	620
387	392	618
388	392	617
389	393	615
390	394	613
391	394	612
392	395	610
393	396	609
394	396	607
395	397	606
396	398	604
397	398	603
398	399	601
399	400	600
400	400	598
401	401	597
402	402	595
403	402	594
404	403	592
405	404	591
406	405	590
407	405	588
408	406	587
409	407	586
410	407	584
411	408	583
412	409	581
413	409	580
414	410	578
415	411	577
416	411	575
417	412	574
418	413	573
419	414	571
420	414	570
421	415	569
422	416	567
423	416	566
424	417	565
425	418	563
