iter	Passed	Remaining
0	141	140906
1	141	70773
2	142	47320
3	142	35588
4	143	28556
5	144	23870
6	144	20520
7	145	18003
8	145	16043
9	146	14478
10	146	13206
11	147	12141
12	148	11239
13	148	10464
14	149	9804
15	150	9232
16	150	8715
17	151	8252
18	151	7839
19	152	7468
20	152	7132
21	153	6827
22	154	6547
23	154	6289
24	155	6057
25	155	5840
26	156	5639
27	157	5456
28	157	5283
29	158	5119
30	158	4966
31	159	4823
32	160	4689
33	160	4566
34	161	4448
35	161	4335
36	162	4231
37	163	4140
38	164	4043
39	164	3954
40	165	3867
41	165	3784
42	166	3706
43	167	3633
44	168	3569
45	168	3503
46	169	3442
47	170	3379
48	171	3320
49	171	3262
50	172	3206
51	172	3152
52	173	3104
53	174	3057
54	175	3009
55	175	2963
56	176	2919
57	177	2877
58	177	2835
59	178	2795
60	179	2762
61	180	2725
62	180	2689
63	181	2657
64	182	2623
65	183	2590
66	183	2557
67	184	2525
68	185	2496
69	185	2468
70	186	2440
71	187	2411
72	187	2385
73	188	2358
74	189	2332
75	189	2306
76	190	2281
77	190	2256
78	191	2236
79	192	2215
80	193	2196
81	194	2174
82	194	2149
83	195	2129
84	195	2109
85	196	2089
86	197	2070
87	198	2052
88	198	2033
89	199	2016
90	200	1998
91	200	1980
92	201	1963
93	201	1946
94	202	1930
95	203	1915
96	204	1899
97	204	1885
98	205	1870
99	206	1855
100	206	1840
101	207	1826
102	208	1813
103	208	1799
104	209	1785
105	210	1772
106	210	1760
107	211	1747
108	212	1734
109	212	1721
110	213	1709
111	214	1696
112	214	1684
113	215	1673
114	215	1661
115	216	1651
116	217	1639
117	217	1628
118	218	1617
119	219	1606
120	219	1596
121	220	1584
122	220	1574
123	221	1564
124	222	1555
125	222	1546
126	223	1535
127	224	1526
128	224	1517
129	225	1508
130	225	1499
131	226	1489
132	227	1480
133	227	1472
134	228	1464
135	229	1457
136	230	1449
137	230	1441
138	231	1432
139	231	1424
140	232	1416
141	232	1407
142	233	1399
143	234	1392
144	235	1388
145	236	1381
146	236	1374
147	237	1366
148	238	1359
149	238	1352
150	239	1345
151	239	1338
152	240	1332
153	241	1325
154	241	1318
155	242	1311
156	243	1305
157	243	1298
158	244	1292
159	244	1286
160	245	1279
161	246	1272
162	246	1267
163	247	1262
164	248	1256
165	248	1250
166	249	1244
167	250	1238
168	250	1232
169	251	1227
170	251	1221
171	252	1215
172	253	1210
